symbol,entry_time,exit_time,avg_entry_price,exit_price,quantity,exit_reason,net_pnl,return_pct,duration_hours,entry_count,total_invested,breakeven_triggered,rule,gross_pnl,total_commission,entry_commission,exit_commission
INUSDT,,,0.08688,0.0799300,2302.025783000000,stop_loss,-16.211200000000002,-8.105600000000001,0.0,1,200.0,False,Rule 6,,,,
INUSDT,,,0.0958530000000000,0.0881850000000000,18778.76417400000,stop_loss,-145.90080000000000,-8.105600000000001,0.6666670000000000,9,1800.0,False,Rule 6,,,,
TWTUSDT,,,1.418,1.30456,141.04372400000000,stop_loss,-16.211200000000002,-8.105600000000001,0.0,1,200.0,False,Rule 6,,,,
INUSDT,,,0.09328699999999999,0.08582400000000000,12863.493753999999,stop_loss,-97.26720000000000,-8.105600000000001,1.5,6,1200.0,False,Rule 6,,,,
STBLUSDT,,,0.4509410000000000,0.4148660000000000,887.0332270000000,stop_loss,-32.422400000000003,-8.105600000000001,0.16666700000000001,2,400.0,False,Rule 8,,,,
DYDXUSDT,,,0.6539,0.6397,305.8571650000000,negative_pnl_8h,-4.560783000000000,-2.2803909999999998,0.0,1,200.0,False,Rule 8,,,,
IPUSDT,,,12.534789999999999,12.4341,47.866779000000001,negative_pnl_8h,-5.477037000000000,-0.9128400000000000,0.5,3,600.0,False,Rule 8,,,,
LAUNCHCOINUSDT,,,0.06789100000000001,0.06651,11783.57278100000,negative_pnl_8h,-17.145623000000001,-2.143203000000000,0.4166670000000000,4,800.0,False,Rule 8,,,,
TWTUSDT,,,1.3502920000000000,1.242269000000000,740.5803350000000,stop_loss,-81.056,-8.1056,0.3333330000000000,5,1000.0,False,Rule 6,,,,
INUSDT,,,0.10978499999999999,0.1098070000000000,34613.17370800000,breakeven_sl,-3.420418000000000,-0.09001099999999999,3.25,19,3800.0,True,Rule 6,,,,
AVNTUSDT,,,2.1232950000000002,2.0799,188.38640400000000,negative_pnl_8h,-8.610621000000000,-2.1526550000000002,0.08333300000000000,2,400.0,False,Rule 8,,,,
SNXUSDT,,,0.9337029999999999,0.85900700000000,1499.4057700000001,stop_loss,-113.4784,-8.105600000000001,0.9166670000000000,7,1400.0,False,Rule 8,,,,
KUSDT,,,0.1448,0.1374,1381.2154700000001,negative_pnl_8h,-10.435373000000000,-5.217686000000000,0.0,1,200.0,False,Rule 8,,,,
BLESSUSDT,,,0.05273,0.0485120,3792.9072630000001,stop_loss,-16.211200000000002,-8.105600000000001,0.0,1,200.0,False,Rule 8,,,,
DRIFTUSDT,,,0.7974680000000000,0.7964,1003.1744340000000,negative_pnl_8h,-1.951291000000000,-0.24391099999999999,0.3333330000000000,4,800.0,False,Rule 8,,,,
INUSDT,,,0.11849800000000001,0.10901800000000000,6751.164774000000,stop_loss,-64.84480000000001,-8.105600000000001,4.0,4,800.0,False,Rule 8,,,,
AVNTUSDT,,,2.3099,2.125108,86.58383499999999,stop_loss,-16.21120000000000,-8.105600000000001,0.0,1,200.0,False,Rule 8,,,,
ASTERUSDT,,,2.149555000000000,2.1499839999999999,558.2552100000000,breakeven_sl,-1.080132000000000,-0.09001099999999999,5.583333000000000,6,1200.0,True,Rule 8,,,,
STBLUSDT,,,0.5198710000000000,0.5199750000000000,6540.078704000000,breakeven_sl,-3.0603739999999999,-0.09001099999999999,6.583333000000000,17,3400.0,True,Rule 8,,,,
MNTUSDT,,,1.627942000000000,1.6282680000000000,245.70897500000001,breakeven_sl,-0.3600440000000000,-0.09001099999999999,0.08333300000000000,2,400.0,True,Rule 8,,,,
TUTUSDT,,,0.10287700000000000,0.0946460000000000,31105.24311500000,stop_loss,-259.37920000000003,-8.105600000000001,1.5833330000000001,16,3200.0,False,Rule 8,,,,
DOODUSDT,,,0.003941000000000000,0.003942000000000000,405943.4634770000,breakeven_sl,-1.440176000000000,-0.09001099999999999,0.6666670000000000,8,1600.0,True,Rule 8,,,,
